楼盘,区域,地址,朝向,房型,面积,层高,建造年份,单价,总价,优势1,优势2,优势3
融创合景珑锦学府,北碚,复兴,南北,3室2厅2卫,99.83㎡,低层(共8层),2019年建造,10919元/㎡,109万,近地铁,次新房,满二年
融创合景珑锦学府,北碚,复兴,南北,3室2厅2卫,99.83㎡,低层(共8层),2019年建造,12522元/㎡,125万,近地铁,次新房,满二年
融创合景珑锦学府,北碚,复兴,南北,3室2厅2卫,99.9㎡,共5层,2021年建造,14915元/㎡,149万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99.06㎡,低层(共6层),2020年建造,10600元/㎡,105万,近地铁,次新房,满二年
融创合景珑锦学府,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共6层),2021年建造,10000元/㎡,99万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共8层),2021年建造,10102元/㎡,100万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共8层),2021年建造,10102元/㎡,100万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,高层(共8层),2021年建造,10102元/㎡,100万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,低层(共8层),2020年建造,10102元/㎡,100万,近地铁,次新房,满二年
合景融创璟月台(北区),北碚,复兴,南北,3室2厅2卫,99㎡,中层(共8层),2019年建造,10102元/㎡,100万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,2室2厅2卫,83㎡,低层(共8层),2021年建造,11687元/㎡,97万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共7层),2020年建造,10102元/㎡,100万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,高层(共8层),2020年建造,10102元/㎡,100万,近地铁,次新房,满二年
合景融创璟月台璟上,北碚,复兴,南北,2室2厅2卫,83.6㎡,低层(共8层),2021年建造,10288元/㎡,86万,近地铁,次新房,满二年
合景融创璟月台(北区),北碚,复兴,南北,3室2厅2卫,99㎡,高层(共8层),2021年建造,10182元/㎡,100.8万,近地铁,次新房,
融创合景珑锦学府,北碚,复兴,南北,3室2厅2卫,99㎡,低层(共6层),2019年建造,13283元/㎡,131.5万,近地铁,次新房,
金融街两江融府(一期),北碚,复兴,南北,3室2厅2卫,101.83㎡,高层(共10层),2022年建造,12374元/㎡,126万,近地铁,车位充足,有电梯
万科四季都会翠屿,北碚,复兴,南北,3室2厅2卫,102㎡,中层(共8层),2020年建造,12255元/㎡,125万,近地铁,车位充足,有电梯
江州锦云,北碚,复兴,南北,3室2厅2卫,99㎡,高层(共8层),2022年建造,11314元/㎡,112万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,3室2厅2卫,99㎡,低层(共8层),2020年建造,11617元/㎡,115万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,3室2厅2卫,94.11㎡,高层(共12层),2021年建造,11158元/㎡,105万,近地铁,车位充足,满二年
招商公园上城溪岸,北碚,复兴,南北,3室2厅2卫,89.32㎡,低层(共6层),2022年建造,14555元/㎡,130万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,3室2厅2卫,95.66㎡,中层(共6层),2021年建造,11500元/㎡,110万,近地铁,车位充足,满二年
招商公园上城溪语,北碚,复兴,南北,3室2厅2卫,89.12㎡,中层(共6层),2022年建造,13465元/㎡,120万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,3室2厅2卫,94.11㎡,高层(共12层),2020年建造,12752元/㎡,120万,近地铁,车位充足,满二年
悦溪正荣府(二期),北碚,复兴,南北,3室2厅2卫,98㎡,低层(共8层),2020年建造,10715元/㎡,105万,近地铁,车位充足,满二年
招商公园上城溪语,北碚,复兴,南北,3室2厅2卫,89.35㎡,中层(共6层),2021年建造,12312元/㎡,110万,近地铁,车位充足,满二年
招商公园上城溪语,北碚,复兴,南北,3室2厅2卫,89.34㎡,低层(共6层),2021年建造,12313元/㎡,110万,近地铁,车位充足,满二年
招商公园上城溪语,北碚,复兴,南北,3室2厅2卫,89.34㎡,高层(共6层),2021年建造,12313元/㎡,110万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,4室2厅2卫,133㎡,低层(共10层),2021年建造,10151元/㎡,135万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,4室2厅2卫,138.38㎡,低层(共12层),2020年建造,10479元/㎡,145万,近地铁,车位充足,满二年
中粮祥云赋A区,北碚,复兴,南北,3室2厅2卫,115㎡,低层(共8层),2021年建造,10435元/㎡,120万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,3室2厅2卫,108.52㎡,低层(共8层),2021年建造,11058元/㎡,120万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,3室2厅2卫,108.52㎡,低层(共8层),2021年建造,11980元/㎡,130万,近地铁,车位充足,满二年
映月台,北碚,复兴,南北,3室2厅2卫,110.92㎡,低层(共6层),2021年建造,12171元/㎡,135万,近地铁,车位充足,满二年
万科四季花城二期风澜,北碚,复兴,南北,3室2厅2卫,101.25㎡,中层(共8层),2020年建造,12642元/㎡,128万,近地铁,车位充足,满二年
万科四季花城二期风澜,北碚,复兴,南北,3室2厅2卫,101㎡,中层(共18层),2021年建造,11090元/㎡,112万,近地铁,车位充足,满二年
万科四季都会翠屿,北碚,复兴,南北,3室2厅2卫,100㎡,高层(共11层),2021年建造,11800元/㎡,118万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,4室2厅2卫,128.83㎡,中层(共8层),2021年建造,11644元/㎡,150万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,4室2厅2卫,118.63㎡,中层(共9层),2021年建造,10790元/㎡,128万,近地铁,车位充足,满二年
中粮祥云赋A区,北碚,复兴,南北,4室2厅2卫,118㎡,低层(共8层),2021年建造,10848元/㎡,128万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,4室2厅2卫,110㎡,高层(共12层),2021年建造,10455元/㎡,115万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,3室2厅2卫,104.92㎡,中层(共8层),2019年建造,11247元/㎡,118万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,3室2厅2卫,103.59㎡,高层(共8层),2019年建造,11585元/㎡,120万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,3室2厅2卫,108.6㎡,低层(共8层),2019年建造,10866元/㎡,118万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,2室2厅2卫,128.83㎡,高层(共8层),2020年建造,11644元/㎡,150万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,3室2厅2卫,104㎡,中层(共12层),2020年建造,12693元/㎡,132万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,3室2厅2卫,102㎡,高层(共12层),2021年建造,10981元/㎡,112万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,4室2厅2卫,118㎡,高层(共6层),2021年建造,11441元/㎡,135万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,4室2厅2卫,118㎡,高层(共8层),2020年建造,10255元/㎡,121万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,4室2厅2卫,140㎡,高层(共10层),2020年建造,10500元/㎡,147万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,4室2厅2卫,139㎡,共5层,2020年建造,11152元/㎡,155万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,3室2厅2卫,96㎡,中层(共8层),2020年建造,10209元/㎡,98万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,4室2厅2卫,138㎡,高层(共10层),2022年建造,11595元/㎡,160万,近地铁,车位充足,满二年
万科四季都会微澜,北碚,复兴,南北,3室2厅2卫,84.99㎡,中层(共8层),2021年建造,11649元/㎡,99万,近地铁,车位充足,满二年
中粮祥云赋C区,北碚,复兴,南北,3室2厅2卫,88㎡,中层(共6层),2022年建造,11137元/㎡,98万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,3室2厅2卫,99.11㎡,低层(共8层),2020年建造,13117元/㎡,130万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,3室2厅2卫,99.11㎡,中层(共8层),2020年建造,12411元/㎡,123万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,3室2厅2卫,99.11㎡,低层(共8层),2019年建造,11705元/㎡,116万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,3室2厅2卫,99.11㎡,中层(共8层),2020年建造,14126元/㎡,140万,近地铁,车位充足,满二年
映月台,北碚,复兴,南北,4室2厅2卫,138.02㎡,低层(共8层),2020年建造,13042元/㎡,180万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,3室2厅2卫,95.66㎡,中层(共6层),2021年建造,10350元/㎡,99万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,3室2厅2卫,95.91㎡,高层(共8层),2019年建造,10427元/㎡,100万,近地铁,车位充足,满二年
金融街两江融府(一期),北碚,复兴,南北,3室2厅2卫,94.13㎡,中层(共12层),2021年建造,10624元/㎡,100万,近地铁,车位充足,满二年
招商公园上城溪语,北碚,复兴,南北,3室2厅2卫,89.11㎡,高层(共6层),2021年建造,11223元/㎡,100万,近地铁,车位充足,满二年
悦溪正荣府(二期),北碚,复兴,南北,3室2厅2卫,99㎡,高层(共8层),2021年建造,10102元/㎡,100万,近地铁,车位充足,满二年
合景融创璟月台(南区),北碚,复兴,南北,4室2厅2卫,149㎡,共5层,2021年建造,12081元/㎡,180万,近地铁,车位充足,满二年
江州锦云,北碚,复兴,南北,3室2厅2卫,108.6㎡,低层(共8层),2022年建造,10314元/㎡,112万,近地铁,车位充足,
万科四季都会蓝茵,北碚,复兴,南北,3室2厅2卫,85㎡,高层(共8层),2020年建造,11624元/㎡,98.8万,近地铁,车位充足,
万科四季花城二期风澜,北碚,复兴,南北,3室2厅2卫,85.02㎡,中层(共8层),2021年建造,11762元/㎡,100万,近地铁,车位充足,
招商公园上城溪语,北碚,复兴,南北,3室2厅2卫,89.21㎡,共5层,2020年建造,10650元/㎡,95万,近地铁,车位充足,
万科四季都会蓝茵,北碚,复兴,南北,3室2厅2卫,85㎡,中层(共8层),2020年建造,11753元/㎡,99.9万,近地铁,车位充足,
万科四季都会蓝茵,北碚,复兴,南北,3室2厅2卫,84㎡,中层(共8层),2022年建造,11762元/㎡,98.8万,近地铁,车位充足,
悦溪正荣府(二期),北碚,复兴,南北,3室2厅2卫,99㎡,中层(共6层),2022年建造,10102元/㎡,100万,近地铁,车位充足,
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共8层),2010年建造,13637元/㎡,135万,近地铁,,有电梯
万科四季都会,北碚,复兴,南北,3室2厅2卫,102㎡,,,11569元/㎡,118万,轨交房,低容积,南北通透
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共8层),2021年建造,14142元/㎡,140万,次新房,,近地铁
合景融创璟月台(北区),北碚,复兴,南北,3室2厅2卫,93.3㎡,高层(共8层),2019年建造,13934元/㎡,130万,次新房,,近地铁
融创合景珑锦学府,北碚,复兴,南北,3室2厅2卫,99.34㎡,低层(共6层),2020年建造,10570元/㎡,105万,次新房,,近地铁
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共8层),2022年建造,10102元/㎡,100万,次新房,,近地铁
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共8层),2022年建造,10102元/㎡,100万,次新房,,近地铁
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,中层(共8层),2022年建造,10102元/㎡,100万,次新房,,近地铁
合景融创璟月台璟上,北碚,复兴,南北,3室2厅2卫,99㎡,高层(共8层),2022年建造,10102元/㎡,100万,次新房,,近地铁
合景融创璟月台(北区),北碚,复兴,南北,3室2厅2卫,99㎡,高层(共8层),2021年建造,10102元/㎡,100万,次新房,,近地铁
万科四季都会蓝茵,北碚,复兴,南北,3室2厅2卫,97㎡,低层(共8层),2020年建造,10928元/㎡,106万,车位充足,采光较好,近地铁
万科四季都会蓝茵,北碚,复兴,南北,3室2厅2卫,99㎡,高层(共8层),2020年建造,11112元/㎡,110万,车位充足,采光较好,近地铁
万科四季都会蓝茵,北碚,复兴,南北,3室2厅2卫,95㎡,高层(共8层),2020年建造,11158元/㎡,106万,车位充足,采光较好,近地铁
万科四季都会微澜,北碚,复兴,南北,3室1厅1卫,85㎡,低层(共8层),2020年建造,11177元/㎡,95万,车位充足,,近地铁
光荣村小区(北碚),北碚,老城区,东南,2室1厅1卫,50㎡,中层(共9层),2000年建造,5360元/㎡,26.8万,,,满五年
梨园村小区(北碚),北碚,老城区,南,3室1厅1卫,86㎡,中层(共9层),1997年建造,4687元/㎡,40.3万,,,满二年
四联悦苑,北碚,老城区,南北,1室1厅1卫,45㎡,高层(共25层),2013年建造,8978元/㎡,40.4万,,,满二年
碚峡路65号小区,北碚,老城区,南北,2室1厅1卫,59㎡,低层(共9层),2000年建造,5221元/㎡,30.8万,,,近地铁
溪岸新居,北碚,龙凤桥,北,2室1厅1卫,51㎡,中层(共11层),2010年建造,9804元/㎡,50万,,,满二年
泰吉滨江(二期)岭澜,北碚,龙凤桥,北,3室2厅2卫,109㎡,中层(共18层),2016年建造,12661元/㎡,138万,,,满二年
泰吉滨江(二期)岭澜,北碚,龙凤桥,东,2室2厅2卫,86.96㎡,低层(共18层),1999年建造,12544元/㎡,109.1万,,近地铁,
泰吉滨江(二期)岭澜,北碚,龙凤桥,东,3室2厅2卫,109㎡,高层(共18层),2016年建造,11285元/㎡,123万,,,满五年
泰吉滨江(二期)岭澜,北碚,龙凤桥,南,2室2厅2卫,91㎡,中层(共18层),1999年建造,10433元/㎡,94.9万,,近地铁,
龙凤二村,北碚,龙凤桥,南,2室0厅0卫,69.7㎡,低层(共9层),1999年建造,3587元/㎡,25万,,,满二年
泰吉滨江(二期)岭澜,北碚,龙凤桥,南,2室2厅2卫,80㎡,低层(共18层),2012年建造,10625元/㎡,85万,,,满二年
望月村小区,北碚,龙凤桥,南,3室1厅1卫,69.5㎡,中层(共9层),2000年建造,6734元/㎡,46.8万,,,近地铁
泰吉滨江(二期)岭澜,北碚,龙凤桥,南北,3室2厅2卫,110㎡,低层(共18层),2015年建造,11546元/㎡,127万,,户型方正,满五年
文星村小区,北碚,龙凤桥,南北,2室1厅1卫,85㎡,低层(共12层),1996年建造,5412元/㎡,46万,,,有电梯
泰吉滨江(二期)岭澜,北碚,龙凤桥,南北,2室1厅1卫,81㎡,高层(共18层),1999年建造,10988元/㎡,89万,,,满五年
北碚龙凤花园,北碚,龙凤桥,南北,2室1厅1卫,71㎡,中层(共8层),2000年建造,5071元/㎡,36万,,,满二年
泰吉滨江(二期)岭澜,北碚,龙凤桥,南北,3室2厅2卫,117.69㎡,中层(共18层),2016年建造,10197元/㎡,120万,,,满二年
泰吉滨江(二期)岭澜,北碚,龙凤桥,南北,3室2厅2卫,102.34㎡,低层(共18层),1999年建造,10462元/㎡,107.1万,,,满二年
泰吉滨江(二期)岭澜,北碚,龙凤桥,南北,3室2厅2卫,114.79㎡,高层(共18层),2008年建造,10890元/㎡,125万,,,满二年
泰吉滨江(二期)岭澜,北碚,龙凤桥,南北,2室2厅2卫,80.86㎡,中层(共18层),1999年建造,10636元/㎡,86万,,,满二年
泰吉滨江(二期)岭澜,北碚,龙凤桥,南北,2室1厅1卫,80.86㎡,低层(共18层),2009年建造,10389元/㎡,84万,,,满二年
天生新村小区(北碚),北碚,龙凤桥,南北,3室1厅1卫,64㎡,中层(共9层),1990年建造,6250元/㎡,40万,,,近地铁
天生新村小区(北碚),北碚,龙凤桥,西北,3室1厅1卫,83㎡,中层(共8层),2000年建造,4097元/㎡,34万,,,满二年
万科四季花城一期,北碚,水土,东南,3室2厅2卫,80.12㎡,中层(共18层),2020年建造,10485元/㎡,84万,,次新房,满二年
万科四季花城一期,北碚,水土,东南,3室2厅2卫,80㎡,低层(共18层),2019年建造,11250元/㎡,90万,,次新房,满二年
万科四季花城一期,北碚,水土,南,3室2厅2卫,80.3㎡,低层(共13层),2020年建造,13076元/㎡,105万,,次新房,满二年
万科四季花城一期,北碚,水土,南,3室2厅2卫,80.3㎡,高层(共13层),2020年建造,14944元/㎡,120万,,次新房,满二年
万科四季花城一期,北碚,水土,南,3室2厅2卫,80.63㎡,中层(共18层),2020年建造,11411元/㎡,92万,,次新房,满二年
万科四季花城一期,北碚,水土,南,3室2厅2卫,91.03㎡,高层(共17层),2020年建造,10634元/㎡,96.8万,,次新房,满二年
万科四季花城一期,北碚,水土,南,3室2厅2卫,90㎡,高层(共18层),2019年建造,10889元/㎡,98万,,次新房,满二年
悦溪正荣府(一期),北碚,水土,南,4室2厅2卫,118㎡,共3层,2020年建造,11017元/㎡,130万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南,3室2厅2卫,98.33㎡,中层(共8层),2019年建造,10170元/㎡,100万,,车位充足,满二年
万科四季花城一期,北碚,水土,南,3室2厅2卫,90㎡,中层(共14层),2018年建造,10445元/㎡,94万,,,
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,98.59㎡,中层(共6层),2020年建造,10651元/㎡,105万,,近地铁,
万科四季花城一期,北碚,水土,南北,3室2厅2卫,90.61㎡,低层(共18层),2020年建造,10816元/㎡,98万,,近地铁,
万科四季花城一期,北碚,水土,南北,3室1厅1卫,80.67㎡,高层(共17层),2021年建造,10537元/㎡,85万,,近地铁,
万科四季花城一期,北碚,水土,南北,3室2厅2卫,90.41㎡,中层(共18层),2020年建造,12167元/㎡,110万,,次新房,满二年
万科四季花城一期,北碚,水土,南北,3室2厅2卫,80.65㎡,低层(共18层),2021年建造,10292元/㎡,83万,,次新房,满二年
万科四季花城一期,北碚,水土,南北,3室2厅2卫,85.02㎡,低层(共16层),2019年建造,10586元/㎡,90万,,次新房,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,134㎡,共2层,2017年建造,13433元/㎡,180万,,车位充足,满五年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,98.59㎡,中层(共6层),2019年建造,8419元/㎡,83万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,99㎡,低层(共6层),2019年建造,11011元/㎡,109万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,4室2厅2卫,98.67㎡,共3层,2019年建造,10338元/㎡,102万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,4室2厅2卫,98㎡,共3层,2020年建造,13776元/㎡,135万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,127㎡,共4层,2020年建造,11024元/㎡,140万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,120㎡,共1层,2017年建造,10417元/㎡,125万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,3室2厅2卫,116.29㎡,共2层,2021年建造,11093元/㎡,129万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,116㎡,共3层,2019年建造,11725元/㎡,136万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,117㎡,共3层,2020年建造,11539元/㎡,135万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,117㎡,共3层,2020年建造,11966元/㎡,140万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,117㎡,共3层,2020年建造,11368元/㎡,133万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,117㎡,共2层,2018年建造,11283元/㎡,132万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室3厅3卫,116㎡,共2层,2016年建造,11638元/㎡,135万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,145㎡,共2层,2020年建造,10207元/㎡,148万,,车位充足,满二年
中交金科辰光,北碚,水土,南北,3室2厅2卫,88㎡,中层(共8层),2021年建造,11364元/㎡,100万,,车位充足,满二年
中交金科辰光,北碚,水土,南北,3室2厅2卫,89.25㎡,低层(共8层),2022年建造,11093元/㎡,99万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,98.42㎡,低层(共8层),2020年建造,10161元/㎡,100万,,车位充足,满二年
金科岭上(C区别墅),北碚,水土,南北,4室2厅2卫,134㎡,共2层,2018年建造,12687元/㎡,170万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.59㎡,低层(共8层),2019年建造,10035元/㎡,120万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.59㎡,中层(共8层),2019年建造,10871元/㎡,130万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.59㎡,中层(共8层),2019年建造,10704元/㎡,128万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.43㎡,低层(共8层),2019年建造,11304元/㎡,135万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.43㎡,中层(共8层),2019年建造,11053元/㎡,132万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.43㎡,中层(共8层),2019年建造,11053元/㎡,132万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.59㎡,低层(共8层),2019年建造,12376元/㎡,148万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.59㎡,低层(共8层),2019年建造,12543元/㎡,150万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.43㎡,高层(共8层),2019年建造,10048元/㎡,120万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.59㎡,高层(共8层),2019年建造,10871元/㎡,130万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.43㎡,高层(共8层),2019年建造,10969元/㎡,131万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.59㎡,高层(共8层),2019年建造,11707元/㎡,140万,,车位充足,满二年
金科岭上(A区),北碚,水土,南北,4室2厅2卫,127㎡,共2层,2020年建造,12205元/㎡,155万,,车位充足,满二年
悦溪正荣府(一期),北碚,水土,南北,5室2厅2卫,99.31㎡,共3层,2021年建造,11580元/㎡,115万,,车位充足,满二年
万科四季花城一期,北碚,水土,南北,3室2厅2卫,80.26㎡,中层(共14层),2018年建造,10342元/㎡,83万,,,满二年
万科四季花城一期,北碚,水土,南北,3室2厅2卫,80.63㎡,中层(共17层),2018年建造,10542元/㎡,85万,,,满二年
万科四季花城一期,北碚,水土,南北,3室2厅2卫,91.02㎡,高层(共17层),2018年建造,10438元/㎡,95万,,,满二年
万科四季花城一期,北碚,水土,南北,3室2厅2卫,91.03㎡,高层(共17层),2019年建造,12084元/㎡,110万,,,近地铁
悦溪正荣府(一期),北碚,水土,南北,3室2厅2卫,119.59㎡,高层(共8层),2021年建造,10453元/㎡,125万,,,近地铁
阳光城檀府,北碚,童家溪,东,3室2厅2卫,139㎡,高层(共17层),2017年建造,11439元/㎡,159万,,,满二年
阳光城檀府,北碚,童家溪,东,2室2厅2卫,135.29㎡,共2层,2017年建造,12492元/㎡,169万,,,满二年
阳光城檀府,北碚,童家溪,东,2室2厅2卫,123.36㎡,共2层,2017年建造,13295元/㎡,164万,,,
阳光城檀府,北碚,童家溪,南,4室2厅2卫,130.62㎡,共2层,2017年建造,12633元/㎡,165万,,车位充足,
阳光城檀府,北碚,童家溪,南,3室2厅2卫,122㎡,共2层,2020年建造,11066元/㎡,135万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南,4室2厅2卫,127.69㎡,共5层,2020年建造,10534元/㎡,134.5万,,,满二年
巨豪香溪美林,北碚,童家溪,南,3室2厅2卫,105.68㎡,共5层,2017年建造,10882元/㎡,115万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南,4室2厅2卫,135㎡,共5层,2020年建造,10371元/㎡,140万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南,4室2厅2卫,110㎡,共5层,2019年建造,10910元/㎡,120万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南,4室2厅2卫,110㎡,共5层,2018年建造,10455元/㎡,115万,,,满二年
阳光城檀府,北碚,童家溪,南,2室2厅2卫,121.22㎡,共2层,2017年建造,13035元/㎡,158万,,,满二年
阳光城檀府,北碚,童家溪,南,2室2厅2卫,135.04㎡,共2层,2017年建造,13700元/㎡,185万,,,满二年
阳光城檀府,北碚,童家溪,南,4室2厅2卫,122㎡,共2层,2017年建造,11886元/㎡,145万,,,
同兴正街29号小区,北碚,童家溪,南北,2室1厅1卫,70.76㎡,中层(共7层),1977年建造,3364元/㎡,23.8万,,,有电梯
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,130㎡,共2层,2020年建造,10770元/㎡,140万,,,有电梯
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,130㎡,共3层,2021年建造,10770元/㎡,140万,,,有电梯
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,130㎡,共2层,2021年建造,10693元/㎡,139万,,,有电梯
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,121.22㎡,共5层,2021年建造,11550元/㎡,140万,,,有电梯
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,132.13㎡,共2层,2021年建造,12867元/㎡,170万,,,有电梯
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,133㎡,共2层,2020年建造,11279元/㎡,150万,,,满二年
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,123㎡,共3层,2020年建造,11627元/㎡,143万,,,满二年
阳光城檀府,北碚,童家溪,南北,2室2厅2卫,133㎡,共2层,2020年建造,11204元/㎡,149万,,,满二年
阳光城檀府,北碚,童家溪,南北,3室2厅2卫,133㎡,共2层,2020年建造,10903元/㎡,145万,,,满二年
阳光城檀府,北碚,童家溪,南北,3室2厅2卫,135㎡,共2层,2017年建造,10741元/㎡,145万,,,满二年
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,134㎡,共2层,2020年建造,10448元/㎡,140万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南北,4室2厅2卫,120㎡,共4层,2020年建造,11667元/㎡,140万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南北,4室2厅2卫,135㎡,共3层,2020年建造,10741元/㎡,145万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南北,4室2厅2卫,120㎡,共3层,2020年建造,10584元/㎡,127万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南北,4室2厅2卫,129㎡,共5层,2020年建造,10388元/㎡,134万,,,满二年
巨豪香溪美林,北碚,童家溪,南北,3室2厅2卫,106㎡,共3层,2015年建造,10850元/㎡,115万,,,满二年
恒大翡翠湾一期,北碚,童家溪,南北,4室2厅2卫,115㎡,共5层,2020年建造,10783元/㎡,124万,,,满二年
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,134㎡,共2层,2022年建造,12762元/㎡,171万,,,满二年
阳光城檀府,北碚,童家溪,南北,3室2厅2卫,134㎡,共2层,2021年建造,12314元/㎡,165万,,,满二年
阳光城檀府,北碚,童家溪,南北,4室2厅2卫,131㎡,共2层,2019年建造,12214元/㎡,160万,,,满二年
